edad,ingreso_declarado,antiguedad_laboral_meses,antiguedad_cliente_meses,score_buro,deuda_sistema,num_creditos_vigentes,peor_morosidad_12m,num_consultas_buro_3m,num_contactos_ult_trimestre,uso_linea_credito_pct,monto_solicitado,plazo_meses,tasa_interes_anual,ingreso_declarado_nulo,ratio_deuda_ingreso,tipo_empleo_independiente,tipo_empleo_informal,tipo_empleo_jubilado,region_Araucania,region_Arica,region_Atacama,region_Aysen,region_Biobio,region_Coquimbo,region_Los Lagos,region_Los Rios,region_Magallanes,region_Maule,region_Metropolitana,region_Nuble,region_OHiggins,region_Tarapaca,region_Valparaiso,canal_partner,canal_sucursal,dia_semana_solicitud_jue,dia_semana_solicitud_lun,dia_semana_solicitud_mar,dia_semana_solicitud_mie,dia_semana_solicitud_sab,dia_semana_solicitud_vie
48,1912000.0,52.0,14,596,6830000.0,2,15,1,0,10.5,770000.0,18,25.6,0,3.5721757322175733,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
45,-1.0,24.0,54,602,3032000.0,4,15,1,0,61.8,980000.0,36,25.7,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
46,542000.0,51.0,83,616,4002000.0,0,0,0,1,0.0,2160000.0,18,20.7,0,7.3837638376383765,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
19,-1.0,12.0,37,695,4833000.0,1,0,0,2,19.7,2670000.0,24,18.8,1,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
49,-1.0,64.0,67,524,2162000.0,1,15,3,0,54.6,2440000.0,18,25.8,1,-1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
28,939000.0,1.0,15,535,8342000.0,3,0,3,2,60.3,1970000.0,12,25.4,0,8.8839190628328,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
43,1381000.0,68.0,36,760,963000.0,2,0,0,2,52.2,720000.0,36,23.0,0,0.6973207820419985,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
44,1041000.0,18.0,59,654,631000.0,1,0,3,0,46.1,700000.0,24,23.0,0,0.6061479346781941,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
29,687000.0,59.0,87,551,804000.0,1,0,0,2,75.2,870000.0,6,26.2,0,1.1703056768558953,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
21,-1.0,-1.0,34,566,399000.0,0,0,2,1,56.5,320000.0,24,21.3,1,-1.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True
21,898000.0,26.0,87,410,5397000.0,2,30,1,5,60.2,2140000.0,18,22.8,0,6.010022271714922,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
31,827000.0,43.0,75,615,2840000.0,3,0,2,0,44.4,1530000.0,36,20.5,0,3.43409915356711,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
32,885000.0,77.0,88,618,1348000.0,3,0,1,4,43.6,1590000.0,18,19.8,0,1.5231638418079096,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
35,1367000.0,75.0,89,505,8165000.0,0,0,0,0,37.6,300000.0,24,23.4,0,5.972933430870519,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True
44,806000.0,123.0,26,473,1946000.0,0,60,4,4,61.7,240000.0,18,25.4,0,2.4143920595533497,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
41,690000.0,116.0,90,663,4454000.0,1,60,0,0,21.4,2270000.0,18,24.8,0,6.455072463768116,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
23,-1.0,30.0,49,635,329000.0,2,15,2,6,46.0,1480000.0,24,25.3,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
20,2438000.0,18.0,11,569,7689000.0,3,60,1,0,39.3,2490000.0,12,23.1,0,3.1538146021328957,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
25,822000.0,36.0,16,588,3053000.0,3,0,2,0,78.9,1580000.0,18,23.4,0,3.7141119221411194,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
33,606000.0,154.0,53,481,2252000.0,3,0,2,1,100.0,770000.0,12,22.7,0,3.716171617161716,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
54,796000.0,28.0,39,514,3207000.0,1,15,2,1,39.5,1010000.0,24,25.1,0,4.028894472361809,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
41,1188000.0,100.0,51,631,1633000.0,3,0,2,0,16.8,380000.0,18,22.9,0,1.3745791245791246,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
61,-1.0,76.0,21,710,373000.0,2,0,0,0,63.6,2370000.0,12,19.5,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True
19,1000000.0,12.0,36,599,1191000.0,5,0,1,0,32.7,650000.0,12,23.3,0,1.191,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
23,894000.0,-1.0,49,667,1436000.0,0,0,0,0,49.4,1520000.0,36,24.7,0,1.6062639821029083,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26,-1.0,18.0,22,328,6973000.0,0,0,4,4,47.1,1570000.0,36,26.0,1,-1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,1379000.0,103.0,50,579,6055000.0,2,0,1,0,16.1,1820000.0,24,20.9,0,4.3908629441624365,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
35,806000.0,-1.0,77,632,2883000.0,2,0,4,0,45.7,2330000.0,12,22.0,0,3.576923076923077,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
34,666000.0,46.0,54,560,1364000.0,2,0,1,0,46.2,1690000.0,12,24.6,0,2.048048048048048,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
31,-1.0,55.0,28,612,6818000.0,1,0,0,1,42.3,1300000.0,12,20.2,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
37,1462000.0,69.0,37,630,3789000.0,2,0,2,1,20.9,590000.0,18,18.8,0,2.591655266757866,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
63,681000.0,-1.0,52,750,135000.0,2,0,0,2,11.1,1390000.0,24,22.8,0,0.19823788546255505,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
47,881000.0,17.0,48,542,1732000.0,1,0,1,0,24.5,1250000.0,24,22.8,0,1.9659477866061295,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
54,784000.0,25.0,33,680,1189000.0,1,15,0,0,24.9,1520000.0,18,18.7,0,1.5165816326530612,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
48,1056000.0,17.0,70,565,1698000.0,2,15,2,0,45.8,320000.0,24,23.2,0,1.6079545454545454,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
26,756000.0,54.0,1,663,2672000.0,1,0,0,0,16.0,1450000.0,24,24.6,0,3.5343915343915344,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
44,642000.0,84.0,91,783,748000.0,3,0,0,1,33.3,1160000.0,12,22.1,0,1.1651090342679127,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
51,-1.0,13.0,53,633,409000.0,1,0,0,0,1.8,1620000.0,36,20.1,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
35,566000.0,61.0,5,761,180000.0,1,0,0,0,0.0,1110000.0,24,20.9,0,0.31802120141342755,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
44,410000.0,9.0,10,629,1750000.0,0,0,0,0,4.5,390000.0,6,20.1,0,4.2682926829268295,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
47,420000.0,54.0,25,657,1304000.0,0,0,0,1,0.0,3140000.0,12,19.4,0,3.104761904761905,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
26,1006000.0,96.0,57,532,4291000.0,2,0,1,0,50.9,1490000.0,12,22.5,0,4.2654075546719685,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
46,809000.0,45.0,17,598,1397000.0,2,30,0,1,68.4,4780000.0,12,24.2,0,1.726823238566131,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
54,1171000.0,23.0,16,633,2458000.0,1,0,0,0,67.6,2190000.0,24,21.2,0,2.099060631938514,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
52,695000.0,-1.0,79,638,1344000.0,0,0,2,0,64.3,2610000.0,18,24.5,0,1.9338129496402878,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
50,1964000.0,71.0,74,669,6701000.0,1,0,0,1,11.3,1010000.0,12,23.0,0,3.4119144602851326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
60,-1.0,105.0,4,645,717000.0,4,0,3,1,43.0,2490000.0,24,24.7,1,-1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
63,1078000.0,73.0,27,557,2550000.0,5,15,4,0,63.0,1280000.0,12,25.6,0,2.3654916512059367,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False
30,499000.0,-1.0,69,511,537000.0,0,90,1,0,68.4,2710000.0,6,25.4,0,1.0761523046092185,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
19,482000.0,12.0,2,540,716000.0,2,0,2,0,49.0,920000.0,12,21.7,0,1.4854771784232366,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
56,1240000.0,128.0,35,609,3851000.0,2,15,4,1,33.9,1520000.0,18,25.5,0,3.1056451612903224,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
24,1131000.0,72.0,90,432,10710000.0,7,15,4,2,80.3,2080000.0,18,26.2,0,9.46949602122016,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
42,575000.0,47.0,55,694,1722000.0,4,0,0,1,49.3,240000.0,36,19.3,0,2.9947826086956524,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
57,-1.0,37.0,39,850,1614000.0,1,0,0,0,0.0,3140000.0,48,20.7,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
32,1109000.0,-1.0,33,672,1651000.0,0,0,2,0,32.6,1250000.0,18,24.2,0,1.4887285843101894,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
51,1037000.0,138.0,25,730,6841000.0,1,0,1,0,37.2,1310000.0,24,21.8,0,6.596914175506268,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
44,-1.0,106.0,89,639,3731000.0,2,0,1,0,19.4,1010000.0,12,23.8,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
59,1502000.0,43.0,41,598,2816000.0,3,0,1,0,29.3,940000.0,36,21.3,0,1.8748335552596538,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
67,-1.0,87.0,9,665,5338000.0,2,15,2,0,32.9,1400000.0,12,26.3,1,-1.0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
47,1214000.0,35.0,13,562,4212000.0,2,0,2,0,67.8,1650000.0,6,25.6,0,3.469522240527183,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
51,720000.0,73.0,89,580,2965000.0,1,15,0,0,86.3,1300000.0,18,26.4,0,4.118055555555555,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False
37,642000.0,12.0,25,601,1822000.0,2,0,1,1,67.0,4520000.0,18,25.1,0,2.838006230529595,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
50,416000.0,-1.0,73,659,1177000.0,2,0,1,0,61.5,1870000.0,36,22.9,0,2.829326923076923,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
21,1031000.0,36.0,73,573,8837000.0,3,0,1,1,30.2,830000.0,18,21.7,0,8.571290009699322,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
58,795000.0,7.0,63,643,250000.0,1,0,0,0,12.7,1510000.0,18,20.0,0,0.31446540880503143,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
58,672000.0,-1.0,35,567,321000.0,1,15,3,1,47.0,900000.0,12,23.7,0,0.47767857142857145,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
50,477000.0,-1.0,94,617,2412000.0,2,0,1,0,14.5,1840000.0,24,24.8,0,5.056603773584905,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
24,296000.0,72.0,6,581,1116000.0,0,0,2,1,56.6,1370000.0,36,25.0,0,3.77027027027027,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
27,1573000.0,82.0,47,801,2315000.0,2,0,2,0,60.9,880000.0,24,24.6,0,1.4717101080737445,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
24,440000.0,72.0,70,746,1463000.0,0,15,1,1,13.7,3150000.0,48,19.6,0,3.325,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
38,-1.0,12.0,88,491,16269000.0,0,0,3,1,30.7,1620000.0,6,24.5,1,-1.0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
38,-1.0,62.0,31,583,1614000.0,1,60,1,0,55.5,2080000.0,24,23.8,1,-1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
32,1351000.0,168.0,45,749,3620000.0,1,0,0,0,0.0,1170000.0,18,20.7,0,2.6794966691339748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
21,2463000.0,36.0,25,586,2167000.0,3,0,0,3,46.0,1760000.0,18,19.1,0,0.8798213560698336,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
31,893000.0,141.0,91,722,1254000.0,1,0,0,0,46.1,900000.0,12,21.9,0,1.4042553191489362,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
22,440000.0,-1.0,40,659,202000.0,2,0,0,1,64.1,270000.0,18,24.3,0,0.4590909090909091,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
43,-1.0,46.0,26,601,1764000.0,1,0,0,0,36.8,2810000.0,18,24.6,1,-1.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
41,800000.0,19.0,61,678,689000.0,3,30,1,0,41.5,3670000.0,24,20.6,0,0.86125,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False
56,-1.0,55.0,79,446,2409000.0,4,90,7,7,83.9,6430000.0,18,28.6,1,-1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
45,2001000.0,115.0,71,764,9791000.0,1,0,0,1,18.7,2300000.0,24,19.7,0,4.893053473263368,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
36,335000.0,-1.0,63,605,520000.0,6,0,2,1,66.4,2920000.0,24,24.7,0,1.5522388059701493,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
28,604000.0,30.0,7,652,944000.0,0,0,0,1,83.1,590000.0,36,21.9,0,1.5629139072847682,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
25,544000.0,-1.0,42,676,226000.0,1,0,0,1,12.1,8640000.0,36,18.9,0,0.41544117647058826,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
35,399000.0,-1.0,22,681,813000.0,3,15,0,2,32.0,2950000.0,18,18.5,0,2.037593984962406,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
34,1172000.0,192.0,65,720,4420000.0,3,0,0,1,18.1,1190000.0,12,21.3,0,3.7713310580204777,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
30,-1.0,-1.0,60,653,422000.0,2,0,1,2,28.9,500000.0,18,21.2,1,-1.0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
51,706000.0,18.0,88,572,2529000.0,0,0,3,0,59.1,610000.0,12,22.7,0,3.582152974504249,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
33,683000.0,20.0,74,517,9386000.0,1,0,3,1,54.4,880000.0,36,22.0,0,13.742313323572475,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
19,1885000.0,12.0,10,618,6337000.0,0,0,0,1,88.6,600000.0,24,22.4,0,3.3618037135278516,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
54,3402000.0,98.0,12,728,2537000.0,0,0,0,0,6.8,2370000.0,12,21.3,0,0.7457378012933569,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
39,1093000.0,6.0,79,691,2824000.0,0,30,1,0,30.5,2110000.0,6,19.6,0,2.583714547118024,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False
22,1126000.0,48.0,29,542,5216000.0,3,0,0,0,58.3,3680000.0,12,24.0,0,4.632326820603907,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
30,469000.0,142.0,10,699,900000.0,0,0,1,0,20.7,2500000.0,48,21.0,0,1.9189765458422174,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
24,1864000.0,27.0,31,591,5323000.0,4,15,0,0,78.4,1390000.0,18,24.9,0,2.85568669527897,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
40,526000.0,-1.0,10,779,1139000.0,1,0,0,3,33.9,1680000.0,36,23.9,0,2.165399239543726,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
31,1564000.0,92.0,70,770,731000.0,0,0,0,1,11.6,840000.0,48,16.5,0,0.4673913043478261,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
36,452000.0,43.0,42,568,2760000.0,3,0,0,2,54.9,660000.0,12,21.6,0,6.106194690265487,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
53,544000.0,330.0,70,813,568000.0,0,0,0,2,29.7,3730000.0,24,22.4,0,1.0441176470588236,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
49,818000.0,46.0,77,749,2866000.0,1,0,1,1,10.4,1260000.0,24,22.3,0,3.5036674816625917,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False
19,818000.0,12.0,35,720,1639000.0,1,0,0,0,44.5,4320000.0,24,19.7,0,2.0036674816625917,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
19,548000.0,-1.0,77,523,2249000.0,3,30,1,0,27.3,390000.0,12,22.4,0,4.104014598540146,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
40,1665000.0,58.0,64,741,5026000.0,2,0,0,1,29.3,870000.0,12,21.3,0,3.0186186186186186,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
33,758000.0,94.0,89,501,447000.0,0,15,1,0,31.3,2230000.0,48,24.2,0,0.5897097625329816,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
55,-1.0,54.0,25,729,558000.0,2,0,0,2,48.2,2010000.0,18,22.6,1,-1.0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
